CustomerID,Gender,Age,State,TenureMonths,ContractType,PaymentMethod,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,CustomerServiceCalls,Churn
1,Male,52,None,10,One Year,Credit Card,Yes,No,No,No,No,No,No,No,No,No,20.0,200.0,3,No
2,Male,42,Texas,10,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,120.55,1205.5,3,Yes
3,Male,54,North Carolina,18,Month-to-Month,Bank Transfer,No,No,No,No,No,No,No,No,No,No,20.0,360.0,2,Yes
4,Male,67,New York,11,Month-to-Month,Credit Card,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Yes,109.22,1201.42,4,Yes
5,Male,41,New York,1,Month-to-Month,Mailed Check,No,No,No,No,No,No,No,No,No,Yes,20.0,,4,Yes
6,Female,41,Texas,31,One Year,Credit Card,Yes,Yes,Fiber Optic,No,No,Yes,Yes,No,No,No,116.8,3620.8,2,No
7,Female,68,New York,33,One Year,Credit Card,Yes,Yes,Fiber Optic,No,No,No,Yes,No,Yes,No,118.37,3906.21,2,Yes
8,Female,56,North Carolina,32,One Year,Electronic Check,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Yes,104.42,3341.44,2,No
9,Male,37,Florida,10,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Yes,101.59,1015.9,3,No
10,Male,53,Michigan,17,One Year,Electronic Check,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,No,No,131.86,2241.62,0,Yes
11,Male,38,Michigan,10,Two Year,Electronic Check,Yes,No,No,No,No,No,No,No,No,Yes,27.86,278.6,3,Yes
12,Female,38,California,1,Two Year,Credit Card,Yes,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,121.79,,2,No
13,Female,48,Texas,19,Two Year,Credit Card,Yes,Yes,No,No,No,No,No,No,No,Yes,41.39,786.41,2,No
14,Female,18,North Carolina,3,One Year,Electronic Check,Yes,No,Fiber Optic,No,No,No,No,No,Yes,No,102.72,308.16,0,No
15,Male,19,New York,2,Month-to-Month,Bank Transfer,Yes,Yes,No,No,No,No,No,No,No,No,35.08,70.16,3,Yes
16,Female,36,California,33,One Year,Bank Transfer,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,No,Yes,111.73,3687.09,2,No
17,Male,29,Florida,1,Two Year,Mailed Check,Yes,No,DSL,No,No,Yes,No,No,No,Yes,80.36,,1,Yes
18,Female,49,Illinois,72,Month-to-Month,Bank Transfer,Yes,No,Fiber Optic,No,No,Yes,Yes,No,No,Yes,116.05,8355.6,1,No
19,Female,31,Georgia,17,Month-to-Month,Credit Card,Yes,No,DSL,No,No,No,No,No,Yes,No,74.44,1265.48,4,Yes
20,Female,23,California,72,Month-to-Month,Electronic Check,Yes,No,No,No,No,No,No,No,No,No,28.59,2058.48,0,No
21,Female,66,California,1,One Year,Electronic Check,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,141.26,,2,Yes
22,Male,41,Michigan,21,Month-to-Month,Electronic Check,Yes,No,DSL,No,No,No,No,Yes,No,Yes,89.93,1888.53,2,No
23,Female,46,Georgia,10,Month-to-Month,Mailed Check,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Yes,102.83,1028.3,0,Yes
24,Female,23,Illinois,44,Two Year,Electronic Check,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,125.57,5525.08,5,Yes
25,Male,36,Georgia,10,One Year,Mailed Check,No,No,DSL,No,No,No,Yes,No,No,Yes,41.5,415.0,1,No
26,Male,46,New York,7,Month-to-Month,Mailed Check,Yes,Yes,No,No,No,No,No,No,No,No,34.38,240.66,0,Yes
27,Male,27,Georgia,46,Month-to-Month,Bank Transfer,Yes,No,DSL,No,Yes,No,Yes,No,No,Yes,88.06,4050.76,1,No
28,Male,50,Florida,11,Month-to-Month,Mailed Check,Yes,Yes,DSL,No,Yes,No,No,No,Yes,No,103.77,1141.47,0,Yes
29,Male,35,Texas,1,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Yes,127.31,,2,No
30,Female,40,Georgia,11,Month-to-Month,Credit Card,No,No,DSL,Yes,No,Yes,No,No,Yes,No,73.74,811.14,2,No
31,Male,35,New York,25,Month-to-Month,Credit Card,No,No,Fiber Optic,No,Yes,Yes,No,No,No,Yes,78.96,1974.0,0,No
32,Male,72,Michigan,7,One Year,Electronic Check,Yes,No,Fiber Optic,No,No,No,No,No,No,Yes,93.28,652.96,2,No
33,Female,44,Florida,13,One Year,Electronic Check,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Yes,122.14,1587.82,1,No
34,Female,29,Michigan,1,Month-to-Month,Credit Card,Yes,Yes,DSL,No,No,No,No,No,Yes,No,103.07,,1,Yes
35,Female,57,Michigan,21,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,128.3,2694.3,1,Yes
36,None,26,Texas,33,Two Year,Electronic Check,Yes,Yes,Fiber Optic,No,Yes,No,No,No,Yes,No,126.88,4187.04,1,Yes
37,Female,48,Georgia,12,Month-to-Month,Mailed Check,Yes,No,Fiber Optic,Yes,No,No,No,No,No,No,100.79,1209.48,1,No
38,Female,18,New York,13,Month-to-Month,Electronic Check,Yes,No,DSL,No,Yes,Yes,No,No,No,Yes,89.71,1166.23,3,No
39,Male,25,Michigan,2,One Year,Electronic Check,Yes,No,DSL,No,No,No,No,No,No,Yes,67.35,134.7,3,Yes
40,Male,47,New York,5,One Year,Mailed Check,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,107.22,536.1,3,No
41,Female,56,Georgia,4,Month-to-Month,Bank Transfer,Yes,No,DSL,No,No,No,Yes,No,No,Yes,79.04,316.16,2,Yes
42,Female,47,New York,15,One Year,Credit Card,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Yes,121.93,1828.95,3,Yes
43,Female,43,Texas,18,One Year,Credit Card,Yes,Yes,No,No,No,No,No,No,No,Yes,45.1,811.8,0,No
44,Female,40,Texas,71,Two Year,Electronic Check,Yes,No,DSL,No,No,No,No,Yes,Yes,No,97.58,6928.18,6,No
45,Female,22,New York,1,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,121.72,,0,Yes
46,Female,34,Georgia,21,One Year,Bank Transfer,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,No,115.66,2428.86,3,No
47,Male,38,Illinois,17,Month-to-Month,Mailed Check,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,127.99,2175.83,2,Yes
48,Male,60,Ohio,17,One Year,Electronic Check,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Yes,139.91,2378.47,1,No
49,Male,50,Florida,49,One Year,Electronic Check,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,129.46,6343.54,1,No
50,Female,18,Pennsylvania,5,Month-to-Month,Electronic Check,No,No,No,No,No,No,No,No,No,No,20.0,100.0,4,Yes
51,Female,49,California,1,Two Year,Mailed Check,No,No,DSL,No,No,No,Yes,No,Yes,Yes,63.22,,2,No
52,Female,39,North Carolina,26,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,Yes,116.67,3033.42,4,No
53,Male,34,Michigan,10,Month-to-Month,Credit Card,Yes,No,Fiber Optic,No,No,Yes,No,No,Yes,No,111.69,1116.9,0,Yes
54,Female,54,New York,1,Month-to-Month,Electronic Check,No,No,DSL,Yes,No,No,No,No,No,Yes,48.88,,2,Yes
